QUEST_UNUSED_20150317_000001	なるほど、パードナーマスターへの道だな。武運を祈る！
QUEST_UNUSED_20151028_001595	アンタナスはネストス派のメンバーであるギエドラが協力者を探していると教えてくれました。
QUEST_UNUSED_20151028_001596	透明な皮収集
QUEST_UNUSED_20151028_001597	ギエドラは経典を作るため様々な材料を集めていて、今はモンスターの透明な皮が必要だそうです。モンスターを倒して透明な皮を集めてください。
QUEST_UNUSED_20151028_001598	ギエドラに届ける
QUEST_UNUSED_20151028_001599	透明な皮を集めたので、ギエドラに届けましょう。
QUEST_UNUSED_20151028_001600	短い皮の紐で製本用の丈夫な紐の束を作る
QUEST_UNUSED_20151028_001601	経典の製本に皮の紐が必要なのに、モンスターから手に入る皮の紐は短くて使えないそうです。モンスターから短い皮の紐を集めてから製革用金床で製本用の丈夫な紐の束を作ってください。
QUEST_UNUSED_20151028_001602	製本用の紐を作りました。ギエドラに渡してください。
QUEST_UNUSED_20151028_001603	とても不安そうなケスタスと話す
QUEST_UNUSED_20151028_001604	何だかとても落ち着きのないケスタスがいます。話しかけてみましょう。
QUEST_UNUSED_20151028_001605	モンスターからネストスの印を取り戻す
QUEST_UNUSED_20151028_001606	ケスタスはネストスの印を失くしてとても不安がっています。周辺のモンスターからネストスの印を取り戻してください。
QUEST_UNUSED_20151028_001607	ケスタスに届ける
QUEST_UNUSED_20151028_001608	ケスタスはようやく落ち着いたようです。ケスタスと話してみましょう。
QUEST_UNUSED_20151028_001609	印を奪おうとするモンスター退治
QUEST_UNUSED_20151028_001610	ラッパを吹いて退却命令を知らせました。ルクリス部隊の兵士の霊魂に報告してください。
QUEST_UNUSED_20151028_001611	行商人バラスと話す
QUEST_UNUSED_20151028_001612	行商人バラスがオロオロしています。{nl}どうしたのか尋ねてみましょう。
QUEST_UNUSED_20151028_001613	行商人バラスの仲間がいる場所へ移動
QUEST_UNUSED_20151028_001614	行商人バラスは自分の仲間が魔族の攻撃を受けていると言います。バラスの仲間たちを助けましょう。
QUEST_UNUSED_20151028_001615	ロゼが話したいことがあるようです。{nl}彼女と話してください。
QUEST_UNUSED_20151028_001616	行商人たちを襲う魔族を退治する
QUEST_UNUSED_20151028_001617	ロゼと話してください。
QUEST_UNUSED_20151028_001618	体力を回復させる
QUEST_UNUSED_20151028_001619	ロゼはラッシュの嗅覚を利用して行商人たちを探そうとしています。ですが、ラッシュの体力がかなり落ちているようです。体力回復ポーションを与えて体力を回復させてください。
QUEST_UNUSED_20151028_001620	ロゼの仲間を探せるくらいには犬の体力が戻ったようです。ロゼに知らせましょう。
QUEST_UNUSED_20151028_001621	犬の嗅覚を使って行商人を探す
QUEST_UNUSED_20151028_001622	犬に服の匂いを嗅がせて行商人を探させてください。
QUEST_UNUSED_20151028_001623	行商人と話す
QUEST_UNUSED_20151028_001624	ほとんどの行商人を見つけたようです。行商人と話してください。
QUEST_UNUSED_20151028_001625	行商人と話してください。
QUEST_UNUSED_20151028_001626	行商人を襲う魔族退治
QUEST_UNUSED_20151028_001627	行商人を襲う魔族を退治してください
QUEST_UNUSED_20151028_001628	行商人が失くした荷物を探す
QUEST_UNUSED_20151028_001629	行商人アンドレスは全財産を投資した商品を失くしてしまったようです。ドーレの休憩所でアンドレスの荷物を探してください。
QUEST_UNUSED_20151028_001630	行商人アンドレスの荷物を見つけました。{nl}行商人アンドレスに届けてください。
QUEST_UNUSED_20151028_001631	不安に震える行商人ゴメスと話してください。
QUEST_UNUSED_20151028_001632	薬草師の小屋の周辺にいるモンスター退治
QUEST_UNUSED_20151028_001633	行商人ゴメスは魔族も怖いけど、モンスターまで暴れていて不安だと言います。薬草師の小屋付近のモンスターを退治してゴメスを安心させてください。
QUEST_UNUSED_20151028_001634	薬草師の小屋付近はもう安全なようです。行商人ゴメスに報告しましょう。
QUEST_UNUSED_20151028_001635	薬草師の小屋周辺にいるモンスター退治
QUEST_UNUSED_20151028_001636	薬売りテイルスと話す
QUEST_UNUSED_20151028_001637	薬売りテイルスと話してください。
QUEST_UNUSED_20151028_001638	周辺にある薬草を集める
QUEST_UNUSED_20151028_001639	薬売りテイルスは自分の傷を癒す薬草を集めてほしいと言います。
QUEST_UNUSED_20151028_001640	薬草を使っても薬売りテイルスの傷は癒えないようです。薬売りテイルスと話してください。
QUEST_UNUSED_20151028_001641	クレリックサブマスターと話す
QUEST_UNUSED_20151028_001642	クレリックサブマスターに薬売りテイルスの状態を伝えてください。
QUEST_UNUSED_20151028_001643	クレリックサブマスターと話してください。
QUEST_UNUSED_20151028_001644	薬売りテイルスに薬を渡す
QUEST_UNUSED_20151028_001645	クレリックサブマスターからもらった薬を薬売りテイルスに渡してください。
QUEST_UNUSED_20151028_001646	ロゼが何かを発見したようです。彼女と話してください。
QUEST_UNUSED_20151028_001647	魔族の本拠地にいる魔族退治する
QUEST_UNUSED_20151028_001648	魔族の本拠地に残っている魔族を退治してください
QUEST_UNUSED_20151028_001649	魔族の本拠地に残っている魔族を退治してください
QUEST_UNUSED_20151028_001650	ロゼと話してください
QUEST_UNUSED_20151028_001651	巨大ワラビに関する情報を探す
QUEST_UNUSED_20151028_001652	魔族の本拠地で巨大ワラビに関する情報を探してください
QUEST_UNUSED_20151028_001653	ロゼのところに戻る
QUEST_UNUSED_20151028_001654	巨大ワラビに関する情報を見つけました。ロゼのところに戻ってください
QUEST_UNUSED_20151028_001655	ロゼのところに戻る
QUEST_UNUSED_20151028_001656	ロゼのところに戻って巨大ワラビに関するを伝えてください
QUEST_UNUSED_20151028_001657	ロゼを救出する
QUEST_UNUSED_20151028_001658	ロゼが正体不明のウィザードと魔族に捕らわれました。彼女を助けてください。
QUEST_UNUSED_20151028_001659	ロゼを助けました。彼女話してください。
QUEST_UNUSED_20151028_001660	ロゼをさらおうとする魔族を退治する
QUEST_UNUSED_20151028_001661	ロゼに戻って巨大ワラビに関する情報を伝えてください
QUEST_UNUSED_20151028_001662	装置の動力源を除去する
QUEST_UNUSED_20151028_001663	巨大ワラビを大きくする装置の動力源を除去してください
QUEST_UNUSED_20151028_001664	装置の動力源を除去しました。ロゼと話してください。
QUEST_UNUSED_20151028_001665	ロゼが修道院へ続く道の途中で待っています。彼女と話してください。
QUEST_UNUSED_20151028_001666	道をふさいでいる魔族を退治する
QUEST_UNUSED_20151028_001667	修道院に続く道をふさいでいる魔族を退治してください。
QUEST_UNUSED_20151028_001668	グレムリンを退治する
QUEST_UNUSED_20151028_001669	旅の薬草売りと話し合ってください
QUEST_UNUSED_20151028_001670	わなを解いてください
QUEST_UNUSED_20151028_001671	釜を守っている魔法陣を破壊する
QUEST_UNUSED_20151028_001672	釜を守っている魔法陣を破壊してください
QUEST_UNUSED_20151028_001673	釜を破壊する
QUEST_UNUSED_20151028_001674	釜を守っていた魔法陣が消えました。釜を破壊してください
QUEST_UNUSED_20151028_001675	ワラビが入った箱を燃やす
QUEST_UNUSED_20151028_001676	魔族がワラビを入れておいた箱を焼いてください
QUEST_UNUSED_20151028_001677	都市オルシャ入口に現われたポアタによって移住民が脅威受けています!ポアタを片付けてオルシャ入口の安全を確保してください
QUEST_UNUSED_20151028_001678	移住民飯縄は1番地域でイブバングゲを片付けてヨンブックははっぱを求めてくれと言ってお願いしました
QUEST_UNUSED_20151028_001679	移住民飯縄の要請どおりヨンブックははっぱを十分に手に入れました。飯縄と話し合ってください
QUEST_UNUSED_20151028_001680	移住民飯縄は1/2番地域にチネンシを片付けて得た粘液を収集してくれと言ってお願いしました
QUEST_UNUSED_20151028_001681	移住民飯縄が要請したレムパル粘液を十分に収集しました。飯縄と話し合ってください
QUEST_UNUSED_20151028_001682	移住民飯縄は巨大なモンスターのため汲む森の中に孤立した北地域移住民を助けるために3/4地域の憩い場たき火をつけてくれと言ってしました
QUEST_UNUSED_20151028_001683	憩い場薪のやまにたきつける
QUEST_UNUSED_20151028_001684	移住民飯縄は憩い場薪のやまにたきつけて遠い所にいる移住民が見られるようにしてくれとお願いしました
QUEST_UNUSED_20151028_001685	ウッドスピリット退治
QUEST_UNUSED_20151028_001686	移住民ダラナスはあなたの冒険を祝福してくれました。そしてジェミナ女神像に祈りを捧げて女神の加護を受けるよう助言されました。
QUEST_UNUSED_20151028_001687	臨時休憩所のモンスター退治
QUEST_UNUSED_20151028_001688	移住民ダルラナスは移住民がオルシャに入って行くために待機した臨時休息所がこの間からモンスターの出没で危なくなったと言います。臨時休息所のモンスターを処理してくれましょう
QUEST_UNUSED_20151028_001689	移住民ダルラナスは臨時休息所に散らばっている移住民を連れて来てくれと言ってお願いしました
QUEST_UNUSED_20151028_001690	このネッサヘモンデイルと話し合ってください
QUEST_UNUSED_20151028_001691	女神像に敬排して見てください
QUEST_UNUSED_20151028_001692	雑貨商人と対話
QUEST_UNUSED_20151028_001693	雑貨商人と話し合ってください
QUEST_UNUSED_20151028_001694	アクセサリ商人と話してください。
QUEST_UNUSED_20151028_001695	重ね橋の森の情報員チェラシアと話す
QUEST_UNUSED_20151028_001696	情報院チェラシアと話し合ってください
QUEST_UNUSED_20151028_001697	司祭イルマのメモのページ収集
QUEST_UNUSED_20151028_001698	周辺モンスターを片付けて師弟イルマのメッセージ一枚一枚を収集してください
QUEST_UNUSED_20151028_001699	情報員モレンと会話
QUEST_UNUSED_20151028_001700	開始情報院モレンと話し合ってください
QUEST_UNUSED_20151028_001701	モレン周辺モンスター処置
QUEST_UNUSED_20151028_001702	情報院モレンが収集した情報を分析する間保護してください。周辺モンスターを処理するほどモレンが安心してさらに早く情報を分析することができます
QUEST_UNUSED_20151028_001703	情報院モレンと話し合ってください
QUEST_UNUSED_20151028_001704	半分燃えたメモ収集
QUEST_UNUSED_20151028_001705	半分燃えたメモを集めてください
QUEST_UNUSED_20151028_001706	追跡者イェウリスと会話
QUEST_UNUSED_20151028_001707	追跡者イェウリスに会いに行ってください。
QUEST_UNUSED_20151028_001708	司祭を確認
QUEST_UNUSED_20151028_001709	司祭を確認してください
QUEST_UNUSED_20151028_001710	謎の日誌の内容を確認
QUEST_UNUSED_20151028_001711	失踪した司教ウルボナスの日誌を発見しました。追跡者イェウリスに届けましょう。
QUEST_UNUSED_20151028_001712	ミノタウロス退治
QUEST_UNUSED_20151028_001713	追跡者タルバーシと話す
QUEST_UNUSED_20151028_001714	パウフィスの渡し場にいる追跡者タルバーシを探してください
QUEST_UNUSED_20151028_001715	情報員ペルニフと話す
QUEST_UNUSED_20151028_001716	情報員ペルニフと話してください。
QUEST_UNUSED_20151028_001717	地域 モンスター退治
QUEST_UNUSED_20151028_001718	情報員ペルニフは他の情報員たちの調査を手伝っているそうです。ズブカの中庭にいるモンスターを退治してください。
QUEST_UNUSED_20151028_001719	ラペザード退治
QUEST_UNUSED_20151028_001720	ラペマイター退治
QUEST_UNUSED_20151028_001721	臭い荷車を処理
QUEST_UNUSED_20151028_001722	情報員ペルニフはきちんと処理をしていないモンスターの死骸から放たれる悪臭のせいで、他のモンスターがさらに興奮していると言います。ズブカの中庭にある臭い荷車を燃やしてください。
QUEST_UNUSED_20151028_001723	追跡者ゲルメイヤと話す
QUEST_UNUSED_20151028_001724	追跡者ゲルメイヤと話してください。
QUEST_UNUSED_20151028_001725	モンスター 誘引剤を使う
QUEST_UNUSED_20151028_001726	追跡者ゲルメイヤはモンスターを興奮させてお互いを攻撃するようにさせる薬をくれるそうです。モンスター刺激薬をモンスターに使ってみてください。
QUEST_UNUSED_20151028_001727	追跡者ライティスと話す
QUEST_UNUSED_20151028_001728	追跡者ライティスと話してください。
QUEST_UNUSED_20151028_001729	追跡者ライティスから、4番地域の通路に現れるモンスターを退治してほしいと頼まれました。
QUEST_UNUSED_20151028_001730	モンスター群落を破壊
QUEST_UNUSED_20151028_001731	モンスター群落を破壊してください
QUEST_UNUSED_20151028_001732	襲いかかるチェイファー退治
QUEST_UNUSED_20151028_001733	追跡者タルバーシと話してください。
QUEST_UNUSED_20151028_001734	司祭ゲリヤのメモ収集
QUEST_UNUSED_20151028_001735	周辺のモンスターを退治して司祭ゲリヤのメモを集めてください
QUEST_UNUSED_20151028_001736	司祭ゲリヤのメモ
QUEST_UNUSED_20151028_001737	隠居地を捜索
QUEST_UNUSED_20151028_001738	追跡者タルバーシから、情報員ラレーナのところへ行く前に、最近発見された司祭たちの隠居地を捜索してほしいと頼まれました。
QUEST_UNUSED_20151028_001739	情報員ラレーナと話す
QUEST_UNUSED_20151028_001740	情報員ラレーナと話してください。
QUEST_UNUSED_20151028_001741	司祭たちの痕跡を捜索
QUEST_UNUSED_20151028_001742	情報員ラレーナは司祭たちが飼っていた犬と一緒に司祭の痕跡を探してほしいと言います。
QUEST_UNUSED_20151028_001743	追跡者センダルと話す
QUEST_UNUSED_20151028_001744	追跡者センダルと話してください。
QUEST_UNUSED_20151028_001745	司祭プラナス救出
QUEST_UNUSED_20151028_001746	追跡者センダルは司祭プラナスと一緒にオタカラコウの丘を調べていたら、魔族を遭遇したそうです。魔族に捕らわれている司祭プラナスを救ってほしいと頼まれました。
QUEST_UNUSED_20151028_001747	司祭プラナスと話す
QUEST_UNUSED_20151028_001748	司祭プラナスと話してください。
QUEST_UNUSED_20151028_001749	司教ウルボナスの痕跡を探す
QUEST_UNUSED_20151028_001750	司祭プラナスは司教ウルボナスの痕跡を探してオルシャに伝達してほしいと言っています。 プラナスは怪我が酷いので、オルシャへ先に帰りました。
QUEST_UNUSED_20151028_001751	情報員オルウェンと話す
QUEST_UNUSED_20151028_001752	情報員オルウェンと話してください。
QUEST_UNUSED_20151028_001753	情報員オルウェンは捜索活動を妨害するモンスターを片付けてくれと言っています。
QUEST_UNUSED_20151028_001754	魔族の魔法陣を解体する
QUEST_UNUSED_20151028_001755	情報員オルウェンは1/2地域に分布した魔族の魔法陣を解体してくれと言いました。
QUEST_UNUSED_20151028_001756	情報員ノトレスと話す
QUEST_UNUSED_20151028_001757	情報員ノトレスはオルシャに押し寄せる移住民たちを安全に移住させるため、事前に3番地域が安全かどうか確認しようとしています。その地域のモンスターが退治できる水準なのか調べてみましょう。
QUEST_UNUSED_20151028_001758	通路のモンスター退治
QUEST_UNUSED_20151028_001759	キャンプ地域を確認
QUEST_UNUSED_20151028_001760	情報員ノトレスは移住民たちがオルシャに入れるまで4番地域のキャンプで休めるか確認したいそうです。4番キャンプ地域が安全かどうか確認してみましょう
QUEST_UNUSED_20151028_001761	情報員ノトレスと話してください。
QUEST_UNUSED_20151028_001762	ボスモンスター退治
QUEST_UNUSED_20151028_001763	汚染された血収集
QUEST_UNUSED_20151028_001764	情報員ノトレスは狂暴になったモンスターから魔族の兆しを捕捉したと言います。 モンスターを片付けて彼らの汚染した血を収集してノートレスに伝達しましょう。
QUEST_UNUSED_20151028_001765	追跡者ゼガウスと会話
QUEST_UNUSED_20151028_001766	追跡者ゼガウスと話してください。
QUEST_UNUSED_20151028_001767	追跡者ゼガウスに、負傷した自分たちのために周囲のモンスターを倒してくれと頼まれました。
QUEST_UNUSED_20151028_001768	追跡者たちの袋を回収
QUEST_UNUSED_20151028_001769	追跡者たちの袋を回収してください
QUEST_UNUSED_20151028_001770	司祭プラナスがパウフィスの渡し場のアシャーク地下監獄入口であなたを待っています。
QUEST_UNUSED_20151028_001771	司祭プラナスを追う
QUEST_UNUSED_20151028_001772	司祭プラナスは仲間と一緒にアシャク地下監獄1階で先に進入すると言いました。 アシャク地下監獄1階で司祭プラナスに追いましょう。
QUEST_UNUSED_20151028_001773	司祭プラナスと話してください
QUEST_UNUSED_20151028_001774	呪いのトーテムを解除する方法を探す
QUEST_UNUSED_20151028_001775	司祭プラナスから、呪いのトーテムを解除する方法を探してほしいと頼まれました。
QUEST_UNUSED_20151028_001776	呪いのトーテム 確認
QUEST_UNUSED_20151028_001777	周辺の魔族を十分に退治しました。呪いのトーテムを確認してみましょう
QUEST_UNUSED_20151028_001778	呪いのトーテム 破壊
QUEST_UNUSED_20151028_001779	司祭プラナスは同じ方式で設置されている呪いトーテムを破壊してくれと言っています。
QUEST_UNUSED_20151028_001780	呪いのトーテムの破片除去
QUEST_UNUSED_20151028_001781	司祭プラナスが処理してほしいと頼んだ呪いのトーテムはすでに誰かの手で破壊されていました。でもその破片はまだ作動しているようです。呪いのトーテムの破片を除去してください
QUEST_UNUSED_20151028_001782	呪いのトーテムを確認してください
QUEST_UNUSED_20151028_001783	トーテムを守るボスモンスター退治
QUEST_UNUSED_20151028_001784	司祭プラナスから依頼されたトーテムを破壊しようとするとトーテムを守っているボスモンスターが現れました。とりあえず、先に倒してください。
QUEST_UNUSED_20151028_001785	ウルボナスと話す
QUEST_UNUSED_20151028_001786	ウルボナスと話してください。
QUEST_UNUSED_20151028_001787	ウルボナスと話してください。
QUEST_UNUSED_20151028_001788	司教ウルボナスは、同じ宗派だと言うならその魔法陣に乗って証明してみなさいと言います。
QUEST_UNUSED_20151028_001789	追撃者トルヴァナと話す
QUEST_UNUSED_20151028_001790	赤い結晶収集
QUEST_UNUSED_20151028_001791	追跡者トルヴァナは領主直属情報隊員の助けになるよう魔族が使う赤い結晶を収集してくれと言っています。
QUEST_UNUSED_20151028_001792	追撃者トルヴァナと話してください。
QUEST_UNUSED_20151028_001793	黒い木の欠片収集
QUEST_UNUSED_20151028_001794	追跡者トルヴァナは領主直属情報隊員に依頼した黒い木切れを収集してくれと言っています。
QUEST_UNUSED_20151028_001795	追撃者ダラマウスと話す
QUEST_UNUSED_20151028_001796	魔族の包み獲得
QUEST_UNUSED_20151028_001797	追撃者ダラマウスは領主直属の情報隊の依頼で魔族が使っている物を調査しなければならないそうです。魔族を退治して魔族の包みを手に入れてください。
QUEST_UNUSED_20151028_001798	魔族の包みを調べる
QUEST_UNUSED_20151028_001799	追撃者ダラマウスに依頼された通り、魔族の包みを集めました。魔族の包みを使ってみて、その効果をダラマウスに伝えましょう
QUEST_UNUSED_20151028_001800	追撃者ダラマウスと話してください。
QUEST_UNUSED_20151028_001801	司祭プラナスを追ってアシャーク地下監獄 2階へ行ってください
QUEST_UNUSED_20151028_001802	司祭プラナスはアシャーク地下監獄2階に設置されている呪いトーテムを破壊してくれと言っています。
QUEST_UNUSED_20151028_001803	司祭イルマ救出
QUEST_UNUSED_20151028_001804	司祭プラナスは3番区域に孤立してしまった司祭イルマを救出してくれと言っています。
QUEST_UNUSED_20151028_001805	司祭イルマと話してください。
QUEST_UNUSED_20151028_001806	監視トーテム破壊
QUEST_UNUSED_20151028_001807	司祭イルマは監視トーテムを破壊することで魔将マルノックスの注意を引きアシャーク地下監獄3階の魔族指令書を回収しに行こうと言います。 監視トーテムを破壊してください。
QUEST_UNUSED_20151028_001808	司祭イルマは監視トーテムを破壊することで魔将マルノックスの注意を引きアシャーク地下監獄3階の魔族指令書を回収しに行こうと言います。 2つ目の監視トーテム周辺の不安定な魔石を収集して監視トーテムにくっつけて破壊してください。
QUEST_UNUSED_20151028_001809	ゲリヤと話す
QUEST_UNUSED_20151028_001810	ゲリヤと話してください。
QUEST_UNUSED_20151028_001811	司祭アウラナスと話す
QUEST_UNUSED_20151028_001812	司祭アウラナスと話してください。
QUEST_UNUSED_20151028_001813	きらめく真珠の粉を集める
QUEST_UNUSED_20151028_001814	司祭アラニスは司教ウルボナスの指示でアシャーク地下監獄に様々な非常物資を用意しておいたそうです。監視塔へ行ってアラニスが用意したきらめく真珠の粉を取って来てください。
QUEST_UNUSED_20151028_001815	宝珠が示す魔族退治
QUEST_UNUSED_20151028_001816	司祭アラニスはこの宝珠を使えば、序列の高い魔族を発見できるはずだと言います。宝珠を使って宝珠が示す魔族を退治してください。
QUEST_UNUSED_20151028_001817	宝珠が示す魔族退治
QUEST_UNUSED_20151028_001818	司祭ドランと話す
QUEST_UNUSED_20151028_001819	司祭ドランと話してください。
QUEST_UNUSED_20151028_001820	司祭ドランは司祭たちが安全に避難できる空間が必要だと言います。特別受刑区域に避難できるよう、そこにいる魔族を退治してください。
QUEST_UNUSED_20151028_001821	罠で魔族をおびき出す
QUEST_UNUSED_20151028_001822	司祭ドランは司祭アラニスと用意した罠を使う時が来たと言います。大変な思いをしなくても魔族を独房区域に仕掛けた罠まで連れて行けば、魔族を簡単に倒せるはずだそうです。
QUEST_UNUSED_20151028_001823	司祭ゲリヤと話す
QUEST_UNUSED_20151028_001824	司祭ゲリヤと話してください。
QUEST_UNUSED_20151028_001825	司祭イルマは最後に残った祭壇に宿る祝福の気に全てをかけるしかないと言います。{nl}祈祷室にある告解の祭壇に宿る気を解放させてください。
QUEST_UNUSED_20151028_001826	司祭イルマは呪いの偶像はもう単なる木の板のような物だと言います。第2監視塔にいる呪いの偶像を破壊してください。
QUEST_UNUSED_20151028_001827	イネッサ・ヘモンデールと話す
QUEST_UNUSED_20151028_001828	イネッサ・ヘモンデールと話してください。
QUEST_UNUSED_20151028_001829	司祭ゲリヤは魔族の指揮体系を研究したいそうです。魔族を退治してマルノックスの紋様を集めてください。
QUEST_UNUSED_20151028_001830	司祭のカバン回収
QUEST_UNUSED_20151028_001831	司祭ゲリヤは怪我をした司祭たちを助けたいのに、逃げる途中で薬の入った袋を失くしてしまったそうです。司祭ゲリヤの袋を探してください。
QUEST_UNUSED_20151028_001832	呪いのトーテムの欠片を浄化
QUEST_UNUSED_20151028_001833	司祭ゲリヤは呪いの偶像は破壊されたものの、後々のことを心配しています。聖水で濡らした布で破壊された呪いの偶像の欠片を覆い、魔気をきれいに消してほしいと頼まれました。
QUEST_UNUSED_20151028_001834	ソードマンサブマスターと話す
QUEST_UNUSED_20151028_001835	オルシャでソードマンサブマスターと話してください。
QUEST_UNUSED_20151028_001836	パウフィスの渡し場でモンスター退治
QUEST_UNUSED_20151028_001837	サドゥーマスターの課題を完遂しました。オルシャにいるサドゥーマスターのアストラルに報告してください。
QUEST_UNUSED_20151028_001838	ソードマンサブマスターに報告
QUEST_UNUSED_20151028_001839	決められた数のモンスターを退治しました。ソードマンサブマスターに報告してください。
QUEST_UNUSED_20151028_001840	ソードマンサブマスターは啓示者の実力を確認するためにパウフィスの渡し場でレッドケッピーとウッディンを退治しろと言います。
QUEST_UNUSED_20151028_001841	ラペマン退治
QUEST_UNUSED_20151028_001842	両手剣の可能性[ハイランダー転職]
QUEST_UNUSED_20151028_001843	ハイランダーサブマスターと話す
QUEST_UNUSED_20151028_001844	レンパリサ池でハイランダーサブマスターと話してください。
QUEST_UNUSED_20151028_001845	剣の練習台を叩いて力を証明する
QUEST_UNUSED_20151028_001846	ハイランダーサブマスターはあなたが両手剣を扱える力を持っているのか疑っています。近くにある剣の練習台を相手に、その力を証明してください。
QUEST_UNUSED_20151028_001847	ハイランダーサブマスターに報告
QUEST_UNUSED_20151028_001848	十分に自分の力を示せたようです。ハイランダーサブマスターともう一度話してください。
QUEST_UNUSED_20151028_001849	ハイランダーとして認められるにはまだ十分ではないようです。もう一度ハイランダーサブマスターと話してください。
QUEST_UNUSED_20151028_001850	パウフィスの渡し場のウッディンを退治
QUEST_UNUSED_20151028_001851	その力を実戦でうまく使えるかどうかを判断するために、ハイランダーサブマスターはパウフィスの渡し場にいるウッディンを退治して来いと言います。
QUEST_UNUSED_20151028_001852	指示された分のウッディンを退治しました。ハイランダーサブマスターに報告してください。
QUEST_UNUSED_20151028_001853	ペルタストサブマスターと話す
QUEST_UNUSED_20151028_001854	オルシャでペルタストサブマスターと話してください。
QUEST_UNUSED_20151028_001855	ラペマンの金具の材料を集めてくる
QUEST_UNUSED_20151028_001856	盾の構造を知らないと、効率的に使うことはできませんよ。{nl}では、お待ちしています。
QUEST_UNUSED_20151028_001857	ペルタストサブマスターに報告
QUEST_UNUSED_20151028_001858	材料を十分集めました。ペルタストサブマスターに報告してください。
QUEST_UNUSED_20151028_001859	木材の山を調べて%s収集
QUEST_UNUSED_20151028_001860	ポクボーンから%s獲得
QUEST_UNUSED_20151028_001861	オルシャでクレリックサブマスターと話してください。
QUEST_UNUSED_20151028_001862	重ね橋の森のラペ退治
QUEST_UNUSED_20151028_001863	クレリックサブマスターから、人々を苦しめる重ね橋の森のポクブーとポクボーンを退治してほしいと依頼されました。
QUEST_UNUSED_20151028_001864	クレリックサブマスターに報告
QUEST_UNUSED_20151028_001865	モンスターを十分に退治したようです。クレリックサブマスターに報告してください。
QUEST_UNUSED_20151028_001866	ポクブーとポクボーン退治
QUEST_UNUSED_20151028_001867	クリヴィスサブマスターと話す
QUEST_UNUSED_20151028_001868	オルシャでクリヴィスサブマスターと話してください。
QUEST_UNUSED_20151028_001869	モンスターを倒して聖火台に点火
QUEST_UNUSED_20151028_001870	どのモンスターでも退治して聖火の宝石に気を満たしてください。宝石が満たされたら、クリヴィスサブマスターの傍にある聖火台に火をつけてください。この課題は一人で遂行しなければなりません。
QUEST_UNUSED_20151028_001871	クリヴィスサブマスターに報告
QUEST_UNUSED_20151028_001872	聖火台に火が灯されました。クリヴィスサブマスターに報告してください。
QUEST_UNUSED_20151028_001873	プリーストサブマスターと話す
QUEST_UNUSED_20151028_001874	オルシャでプリーストサブマスターと話してください。
QUEST_UNUSED_20151028_001875	クレリック、クリヴィス、ボコルサブマスターから祝福を受ける
QUEST_UNUSED_20151028_001876	プリーストサブマスターから、オルシャにいるクレリック、クリヴィス、ボコルサブマスターの祝福を受けて来るように言われました。
QUEST_UNUSED_20151028_001877	プリーストサブマスターに報告
QUEST_UNUSED_20151028_001878	全員に祝福されました。プリーストサブマスターに報告してください。
QUEST_UNUSED_20151028_001879	ダダンの森でゴサル退治
QUEST_UNUSED_20151028_001880	ソードマンサブマスターはさらに強くなりたければダダンの森でゴサルを退治しろと言います。
QUEST_UNUSED_20151028_001881	ゴサルを退治しました。ソードマンサブマスターに報告してください。
QUEST_UNUSED_20151028_001882	ハイランダーサブマスターは啓示者がどれだけ成長したのか判断するためにダダンの森でゴサルを退治して来いと言います。
QUEST_UNUSED_20151028_001883	これなら十分でしょう。ハイランダーサブマスターに報告してください。
QUEST_UNUSED_20151028_001884	盾を着用した状態でダダンの森のモンスターを退治
QUEST_UNUSED_20151028_001885	ペルタストサブマスターは盾の活用能力を見せてほしいと言います。ダダンの森で盾を着用したままモンスターを狩ってください。 魔族を退治すればより高い評価を得ることができます。この課題は一人で遂行しなければなりません。
QUEST_UNUSED_20151028_001886	指定された数のモンスターを倒しました。ペルタストサブマスターに報告してください。
QUEST_UNUSED_20151028_001887	ワラビの森63_3でモンスターを退治し、%sを集める
QUEST_UNUSED_20151028_001888	オルシャでホプライトマスターと話してください。
QUEST_UNUSED_20151028_001889	ホプライトマスターはダダンの森でラフリーを退治して来いと言います。
QUEST_UNUSED_20151028_001890	一定数のラフリーを退治しました。ホプライトマスターに報告してください。
QUEST_UNUSED_20151028_001891	バーバリアンサブマスターと話す
QUEST_UNUSED_20151028_001892	パウフィスの渡し場でバーバリアンサブマスターと話してください。
QUEST_UNUSED_20151028_001893	ダダンの森のゴサル退治
QUEST_UNUSED_20151028_001894	バーバリアンサブマスターは好戦性を知りたいと言います。ダダンの森のゴサルを倒して証明してください。
QUEST_UNUSED_20151028_001895	バーバリアンサブマスターに報告
QUEST_UNUSED_20151028_001896	ゴサルを退治しました。バーバリアンサブマスターに報告してください。
QUEST_UNUSED_20151028_001897	ヨノームを退治する
QUEST_UNUSED_20151028_001898	軟膏でレンパリサ池の避難者を治療
QUEST_UNUSED_20151028_001899	クレリックサブマスターはレンパリサ池で負傷した避難者たちを治療してほしいと言います。もらった軟膏で彼らを治療しましょう。
QUEST_UNUSED_20151028_001900	状態の悪い患者はもういないようです。クレリックサブマスターに報告してください。
QUEST_UNUSED_20151028_001901	オルシャ周辺の全女神像に祈りを捧げる
QUEST_UNUSED_20151028_001902	クリヴィスサブマスターから、レンパリサ池と重ね橋の森、そしてパウフィスの渡し場にある4体の女神像のところへ行き、ぞれぞれに奉献品と祈りを捧げるよう言われました。
